t,x,y
0,1590,935
3,1589,935
6,1588,935
8,1587,935
9,1585,935
11,1584,935
15,1583,935
17,1582,935
17,1581,935
18,1579,935
19,1579,934
20,1577,934
22,1576,934
23,1575,934
24,1573,934
25,1571,934
26,1570,934
27,1568,934
28,1566,932
29,1564,932
30,1563,932
31,1561,932
32,1559,932
33,1558,932
34,1556,932
35,1554,930
36,1550,930
37,1548,930
38,1544,930
39,1542,930
40,1540,928
41,1536,928
42,1534,928
43,1533,928
44,1529,926
45,1525,926
46,1523,926
47,1519,924
48,1517,924
49,1513,924
50,1509,924
52,1505,924
52,1501,922
53,1499,922
54,1498,922
55,1494,922
56,1488,922
57,1486,922
58,1480,920
59,1478,920
60,1474,918
61,1472,918
62,1466,918
63,1462,918
64,1456,916
65,1454,916
66,1449,916
68,1447,916
68,1441,916
69,1439,916
70,1433,916
71,1429,914
72,1425,914
73,1421,914
75,1417,914
75,1411,912
76,1409,912
77,1405,912
78,1401,912
79,1393,912
80,1389,912
81,1385,910
82,1379,910
84,1377,910
84,1371,910
85,1365,910
86,1364,910
87,1358,910
88,1352,910
89,1348,908
90,1344,908
91,1340,908
92,1334,908
93,1328,908
94,1326,908
95,1320,908
96,1312,908
97,1308,908
98,1304,908
99,1298,908
100,1294,908
102,1288,908
102,1282,908
103,1280,908
104,1274,906
105,1270,906
106,1266,906
107,1260,906
108,1256,906
109,1250,906
110,1246,906
111,1242,906
112,1238,906
113,1230,906
114,1226,906
115,1222,906
116,1218,906
118,1214,906
118,1210,906
119,1206,906
120,1200,906
121,1196,906
122,1192,906
123,1188,908
124,1184,908
125,1180,908
126,1176,908
127,1172,908
128,1166,908
129,1160,908
130,1158,908
131,1152,910
132,1150,910
133,1147,910
135,1143,910
135,1141,910
136,1135,912
137,1133,912
138,1127,912
139,1125,912
140,1121,914
141,1117,914
142,1113,914
143,1111,914
144,1107,914
145,1103,916
146,1099,916
147,1097,916
148,1094,916
149,1092,916
150,1088,916
151,1086,918
152,1082,918
153,1078,918
154,1076,920
155,1072,920
156,1068,920
157,1066,920
158,1062,922
159,1060,922
160,1056,922
161,1054,922
162,1052,922
163,1051,922
164,1047,924
165,1045,926
166,1041,926
167,1039,926
169,1035,926
169,1033,926
170,1033,928
171,1029,928
172,1027,928
173,1023,930
174,1019,930
175,1017,930
176,1016,930
177,1014,931
178,1010,931
179,1008,931
180,1006,933
181,1002,933
182,1000,933
183,999,933
184,997,933
185,995,933
186,993,935
187,989,935
188,987,937
189,985,937
190,982,937
191,982,939
192,978,939
193,976,939
194,974,939
195,972,941
196,970,941
197,969,941
198,965,941
199,963,943
200,961,943
201,959,943
203,955,945
203,953,945
204,952,945
205,950,945
206,948,945
207,947,945
208,945,947
209,941,947
210,939,947
211,937,949
212,935,949
213,931,949
214,931,951
215,930,951
216,926,951
217,924,953
218,922,953
219,920,953
221,919,953
221,917,953
222,915,953
223,913,955
224,909,955
225,908,955
226,906,956
227,904,956
228,902,956
229,900,958
230,898,958
231,897,958
232,895,958
233,893,960
234,891,960
235,890,960
236,888,962
238,886,962
238,884,962
239,883,962
240,883,964
241,881,964
242,879,966
243,877,966
244,876,966
246,874,966
247,873,966
248,873,967
249,871,967
250,869,967
251,868,967
253,866,967
256,865,967
257,865,968
258,864,968
261,862,968
262,862,970
265,861,970
272,860,970
300,859,970
309,859,969
310,858,969
323,857,969
325,857,968
330,856,968
335,855,968
346,854,968
349,853,968
354,852,969
359,851,969
363,850,969
366,849,970
369,848,970
371,847,970
374,847,971
376,846,971
378,845,971
379,843,971
384,842,972
386,841,972
389,840,972
391,839,972
393,838,972
395,837,972
398,836,973
400,834,973
402,833,973
404,832,973
406,831,973
409,830,973
411,828,974
413,827,974
415,826,974
418,825,974
420,824,974
422,824,976
423,823,976
426,821,976
429,820,976
433,819,976
438,818,976
441,817,976
448,816,976
456,815,976
458,815,977
462,814,977
465,813,977
470,813,978
470,812,978
476,811,978
479,810,978
484,809,978
485,809,979
488,807,979
490,806,979
493,806,980
494,805,980
497,804,980
498,804,981
499,802,981
504,801,981
507,800,981
507,798,983
511,797,983
512,797,984
514,796,984
516,794,985
519,793,985
521,792,985
523,791,986
525,790,988
529,788,988
531,787,988
532,787,989
534,786,989
537,785,989
541,785,990
541,784,990
549,784,991
552,783,991
573,783,991
